n,rho0,seed,rho,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,3,9,600.059713125229,600.041831970215,611.805246533942,132.758811114007,474.904636504944,169.741461018915,0.000233296722782328,0.000237417751626722,18.0495399743642,-0.0971047061692787,-0.0971045527630727,-0.0971044809326488,-0.0848253179531793,-0.0984071838231081,18.0495399743642,-0.0971047061692787,-0.0971045527630727,-0.0971044809326488,36459.4125719132,41548.9578596582,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,4,3,21.0868771076202,16.941684961319,612.042411526083,144.817908197991,365.048180143,218.891008147038,0.00359567622922702,0.00359539998862282,18.690802620117,-0.0995171743016167,-0.0995166064176915,-0.0995169521339475,0.00359468567574977,0.00359519973592698,18.690802620117,-0.0995171743016167,-0.0995166064176915,-0.0995169521339475,0.0275484613768365,0.00556969173043063,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,4,6,600.03041601181,600.026142120361,610.980751581024,120.159107952029,398.602991470951,188.766443428001,0.000993927074490884,0.000993894296290078,23.6112678657694,-0.0995172233259762,-0.0995170790812101,-0.099516592507493,-0.020371613026409,-0.0179746616137427,23.6112678657694,-0.0995172233259762,-0.0995170790812101,-0.099516592507493,2149.60842191002,1908.50837768533,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,4,9,600.079460859299,600.017668008804,610.773590769037,132.290682642022,422.933193180012,158.529278249014,0.000111963991386879,0.000111840826842605,18.2706404437173,-0.0995172515695087,-0.0995168929123822,-0.0995166456391644,-0.0809629248370434,-0.0821089572423884,18.2706404437173,-0.0995172515695087,-0.0995168929123822,-0.0995166456391644,72411.5743143574,73515.9068386908,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,5,3,27.9093091487884,21.3472950458527,610.039642874966,145.629761150922,540.951350698946,199.305248378078,0.00384485016407046,0.00384484480591531,21.7031179033634,-0.0973269277167011,-0.0973265193457021,-0.0973272559665565,0.00384463741026052,0.00384469083289371,21.7031179033634,-0.0973269277167011,-0.0973265193457021,-0.0973272559665565,0.00553347467023989,0.00400466154992002,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,5,6,600.023459911346,600.028831958771,612.541320550954,107.545375228976,456.132451734971,148.954943057965,0.000691069497131313,0.000611380624119425,27.7024742469573,-0.0973272584514439,-0.0973266260553777,-0.0973270925342186,-0.0116101293322166,-0.0153757292151415,27.7024742469573,-0.0973272584514439,-0.0973266260553777,-0.0973270925342186,1780.02341015068,2614.91928408547,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,5,9,600.016108989716,600.043459177017,611.534811805002,132.332619310007,496.755322071957,139.565940915025,8.12710570860007E-05,0.000110925821421451,21.3770322854107,-0.0973273066591935,-0.0973269248487877,-0.0973273430753415,-0.0797193730654131,-0.0743608317196241,21.3770322854107,-0.0973273066591935,-0.0973269248487877,-0.0973273430753415,98190.729865928,67136.5391634991,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,6,3,27.3371958732605,19.5294930934906,611.354915370001,133.667361989035,419.303371257032,209.130240042927,0.00499845407062266,0.00499807366152344,22.6320303925548,-0.0980490481432995,-0.0980485768426382,-0.0980490538174307,0.00499699812269005,0.00499793137902661,22.6320303925548,-0.0980490481432995,-0.0980485768426382,-0.0980490538174307,0.0291279646074213,0.00284674669607867,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,6,6,600.022156000137,600.027879953384,611.261764757917,120.02697812207,455.76355739194,149.966716637951,0.00020981273503794,0.000209852803832732,28.9633067531933,-0.0980490487695486,-0.0980481739639269,-0.0980489694105721,-0.0257613572890969,-0.0268701458325264,28.9633067531933,-0.0980490487695486,-0.0980481739639269,-0.0980489694105721,12378.2619865465,12904.2824979093,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,6,9,600.051038980484,600.028127908707,611.693788844976,139.562572791008,419.873297095997,149.807346264948,8.37017048945176E-05,8.36159832378835E-05,22.2967088171303,-0.0980490166860935,-0.0980481821872606,-0.0980490603296344,-0.0742359982115286,-0.0943501260301025,22.2967088171303,-0.0980490166860935,-0.0980481821872606,-0.0980490603296344,88791.1423191226,112937.429372421,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
