n,rho0,seed,rho,mineigvalQ,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
25,6,0,2,-8.13183137193829,0.18665599822998,0.165915966033936,56.932556954,5.6502365959999,10.4985282929999,6.18335544599995,0.143704042198937,0.143704042198937,0.143704054467745,0.143704055009183,0.143704042710622,0.143704083719837,0.143700275299586,0.143696468927136,0.143704054467745,0.143704055009183,0.143704042710622,0.143704083719837,0.00262128976540771,0.00527004786027716,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,0,3,-8.13183137193829,0.282691955566406,0.163887977600098,49.1797199019999,3.68402820099982,11.5178511509998,6.60255438100012,0.0180403844388798,0.0180403963962714,0.0180404167942321,0.0180403912614376,0.0180403982371748,0.0180403895583162,0.0180388908070214,0.0180392302832596,0.0180404167942321,0.0180403912614376,0.0180403982371748,0.0180403895583162,0.00827937931909246,0.00646389905267037,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,0,4,-8.13183137193829,0.199153900146484,0.263969898223877,58.413278907,5.30889992000016,12.5654027399999,6.88314268799991,0.00498465721839789,0.00498488494533606,0.00498461255101855,0.00498460331286019,0.00498460494141197,0.00498463706919713,0.00498436981338104,0.00498372127181414,0.00498461255101855,0.00498460331286019,0.00498460494141197,0.00498463706919713,0.00576579299754037,0.0233440397255818,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,1,2,-8.14372735611813,0.169715166091918,0.177994012832641,60.9360728020001,4.54105812200214,10.2359280090022,7.45591751400206,0.269541396676984,0.269541396676984,0.269541402964641,0.269541410366861,0.269541438512305,0.269541396685139,0.269528636503649,0.269526533464514,0.269541402964641,0.269541410366861,0.269541438512305,0.269541396685139,0.0047340310217418,0.00551425964730457,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,1,3,-8.14372735611813,0.221961021423339,0.229626893997192,49.5849739889999,5.79557350699906,11.8545303900027,6.56700189999901,0.0403032759229043,0.0403031785984388,0.0403031674755321,0.0403031716992796,0.0403031657898901,0.0403031656750291,0.0403015934464342,0.0403014217942112,0.0403031674755321,0.0403031716992796,0.0403031657898901,0.0403031656750291,0.00417454023676739,0.00435897189417493,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,1,4,-8.14372735611813,0.1908700466156,0.172930002212524,60.084978224997,4.42543354900044,11.1277911830002,6.96349358400038,0.00913932376677972,0.0091393143338313,0.00913922127141607,0.00913922122698395,0.00913921987890344,0.00913921985428406,0.00913826055884359,0.00913870534114007,0.00913922127141607,0.00913922122698395,0.00913921987890344,0.00913921985428406,0.0116333326542249,0.006663439608113,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,2,2,-8.52620453195186,0.244935035705566,0.194673061370849,59.5197605819994,4.57144479799899,11.0127773369968,7.62833322599908,0.358819325938302,0.358819390882426,0.358819337992338,0.358819344026179,0.358819447161354,0.358819324845242,0.3587966287764,0.358787789864474,0.358819337992338,0.358819344026179,0.358819447161354,0.358819324845242,0.00632551266363183,0.00880694264449845,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,2,3,-8.52620453195186,0.199459075927734,0.190633058547973,54.221260915001,4.5301597639991,11.2441080829958,5.45116108899674,0.108707939946776,0.108707939946776,0.108707943530584,0.108708149823279,0.108708132853617,0.108707981342502,0.108698467220308,0.108701220916226,0.108707943530584,0.108708149823279,0.108708132853617,0.108707981342502,0.00871392326282793,0.00618080938037267,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,2,4,-8.52620453195186,0.173665046691894,0.172552108764648,51.301758737005,5.30097534899687,10.7779016589993,5.72060015100578,0.0113001544158603,0.011300157619962,0.0112999819657992,0.0113000065998717,0.0113000698313398,0.0113000735640594,0.0112990732741843,0.0112987983691782,0.0112999819657992,0.0113000065998717,0.0113000698313398,0.0113000735640594,0.00956749471007577,0.0120286002150902,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,3,2,-7.22676047000812,0.176733970642089,0.118038892745971,57.075665641998,5.29136288599693,10.4469628259976,7.75463052699342,0.265831727570481,0.265832140147206,0.265831724003403,0.265831723958281,0.265831753618149,0.265831724038692,0.265812250499475,0.26581864006641,0.265831724003403,0.265831723958281,0.265831753618149,0.265831724038692,0.00732684212848891,0.00507842309415578,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
