n,rho0,seed,rho,mineigvalQ,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
25,6,0,2,-4.72784948241611E-16,0.047605037689209,0.0330688953399658,51.0932372670068,5.12621121799748,9.53116537899768,5.96140328199544,0.143704042198936,0.143704042198936,0.143704049299758,0.14370404275814,0.143704055597576,0.143704082041513,0.143704042198936,0.143704042198936,0.143704049299758,0.14370404275814,0.143704055597576,0.143704082041513,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,0,3,-4.72784948241611E-16,0.024695873260498,0.0188899040222168,53.5817531390057,4.9441925239953,11.8545784479938,6.13009584200336,0.0180403844388798,0.0180403844388798,0.0180405384999104,0.0180404114809334,0.0180403862731449,0.0180405107464141,0.0180403844388798,0.0180403844388798,0.0180405384999104,0.0180404114809334,0.0180403862731449,0.0180405107464141,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,0,4,-4.72784948241611E-16,0.0221359729766846,0.0221028327941895,63.9620454219985,4.90844023998943,11.9137601699913,8.06457922499976,0.00498460320948138,0.00498460320948138,0.00498461997444266,0.00498464262780311,0.00498473520118658,0.00498460406590942,0.00498460320948138,0.00498460320948138,0.00498461997444266,0.00498464262780311,0.00498473520118658,0.00498460406590942,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,1,2,1.47349251470555E-16,0.0354609489440918,0.0299749374389648,55.1372940389993,4.81295878101082,9.92461618701054,5.44194066499767,0.269541396676984,0.269541396676984,0.269541398142802,0.269541396716836,0.269541638120128,0.269541398749614,0.269541396676984,0.269541396676984,0.269541398142802,0.269541396716836,0.269541638120128,0.269541398749614,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,1,3,1.47349251470555E-16,0.0196211338043213,0.0101261138916016,57.626691196012,4.7539022359997,11.5703712520044,6.22016605499084,0.0403031651615099,0.0403031651615099,0.0403031678176832,0.0403032753335501,0.0403031666079015,0.0403033478048722,0.0403031651615099,0.0403031651615099,0.0403031678176832,0.0403032753335501,0.0403031666079015,0.0403033478048722,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,1,4,1.47349251470555E-16,0.0196611881256104,0.0199871063232422,60.0270857870055,4.8771437510004,11.9291590859939,6.43649473700498,0.00913921983859893,0.00913921983859896,0.00913922018447416,0.00913921985591688,0.00913924715849351,0.00913925438767825,0.00913921983859893,0.00913921983859894,0.00913922018447416,0.00913921985591688,0.00913924715849351,0.00913925438767825,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,2,2,8.18789480661053E-16,0.0490400791168213,0.042794942855835,57.0415543109993,4.60565323500487,10.6748717750015,6.14980890699371,0.358819324838828,0.358819324838828,0.358819374698268,0.358819324904754,0.358819333457932,0.358819325078229,0.358819324838828,0.358819324838828,0.358819374698268,0.358819324904754,0.358819333457932,0.358819325078229,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,2,3,8.18789480661053E-16,0.0338571071624756,0.0358409881591797,61.396475482994,5.27477528600139,10.8436572369974,6.63576253400242,0.108707939946776,0.108707939946776,0.108707940999536,0.108707955450664,0.108707975465615,0.108707939957454,0.108707939946776,0.108707939946776,0.108707940999536,0.108707955450664,0.108707975465615,0.108707939957454,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,2,4,8.18789480661053E-16,0.0286400318145752,0.0363690853118896,50.960869528004,5.01617096700647,11.4378416779946,6.17738473899954,0.0112999817452865,0.0112999817452865,0.0113002851718696,0.0113003324851894,0.0112999862006787,0.0113000731112829,0.0112999817452865,0.0112999817452865,0.0113002851718696,0.0113003324851894,0.0112999862006787,0.0113000731112829,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
25,6,3,2,1.7807027981924E-16,0.0468590259552002,0.0401730537414551,57.8886372839916,4.36000938499637,10.4636510690034,5.62970611700439,0.265831723911635,0.265831723911635,0.265831758669034,0.265832233840255,0.265831732777068,0.265831752292645,0.265831723911635,0.265831723911635,0.265831758669034,0.265832233840255,0.265831732777068,0.265831752292645,0,0,0,0,0,0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
