n,rho0,seed,rho,mineigvalQ,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,1,6,1.10408852616755E-16,0.0942339897155761,0.0941669940948486,610.247794821,140.041592382,480.957940216002,227.435156257001,0.0221813351207812,0.0221813351207812,41.4654226552994,0.0221816088895602,0.0221818185225235,0.0221816588314468,0.0221813351207812,0.0221813351207812,41.4654226552994,0.0221816088895602,0.0221818185225235,0.0221816588314468,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,1,9,1.10408852616755E-16,0.0296411514282226,0.0693368911743164,610.935524851,196.274786382997,596.033040429,235.457296929002,0.0005958965953231,0.0005958965953231,32.2502802112332,0.000595896765287,0.000596008433491,0.000595905212015,0.0005958965953231,0.0005958965953231,32.2502802112332,0.000595896765287,0.000596008433491,0.000595905212015,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,25,1,6,-1.26845293510007E-16,10.03817486763,17.6593019962311,610.094439223001,216.312225014,582.657477950001,314.218125759002,0.08109382649355,0.08109382649355,38.2994951036636,0.0810938752658359,0.0810948600680357,0.0810944901167946,0.08109382649355,0.08109382649355,38.2994951036636,0.0810938752658359,0.0810948600680357,0.0810944901167946,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,25,1,12,-1.26845293510007E-16,0.276352882385254,0.224992990493774,609.186101990999,169.461906881999,471.483142837002,209.057598472002,0.0100195769998301,0.0100195769998301,23.4681358597356,0.0100195856998929,0.0100196258068657,0.0100195843098136,0.0100195769998301,0.0100195769998301,23.4681358597356,0.0100195856998929,0.0100196258068657,0.0100195843098136,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,25,1,19,-1.26845293510007E-16,0.0682320594787597,0.0966720581054687,611.044689542003,144.088917739999,579.807026734001,303.727323429997,0.0002917046306299,0.0002917046306299,9.60794062647737,0.0002923575764886,0.0002917539845507,0.0002917109994916,0.0002917046306299,0.0002917046306299,9.60794062647737,0.0002923575764886,0.0002917539845507,0.0002917109994916,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,38,1,10,-7.96615220076695E-17,377.513554096222,385.62605214119,611.559229071001,217.321960326,475.842878839001,315.865785195001,0.037475355220797,0.037475355220797,29.5714514759616,0.0353730114436147,0.0353722716439609,0.0353726203266661,0.0374739677209825,0.037475355220797,29.5714514759616,0.0353730114436147,0.0353722716439609,0.0353726203266661,0.0037024327223024,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,38,1,19,-7.96615220076695E-17,2.52239394187927,3.45873403549194,610.317904394,176.208445210999,598.803225872998,266.345263772,0.0054648710188039,0.0054648710188039,8.3792663241825,0.0054649477266617,0.0054648791800909,0.0054649801181011,0.0054648710188039,0.0054648710188039,8.3792663241825,0.0054649477266617,0.0054648791800909,0.0054649801181011,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,38,1,28,-7.96615220076695E-17,0.485429048538208,0.387184858322143,612.523089941002,163.732474768,523.749905777,265.323815855001,0.0003757472779849,0.0003757472779849,9.9720878123668,0.0003757497521369,0.0003766750106557,0.0003757556640272,0.0003757472779849,0.0003757472779849,9.9720878123668,0.0003757497521369,0.0003766750106557,0.0003757556640272,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,3,8.25974195250316E-17,0.36160397529602,0.279508113861084,610.772533403,163.874729731,440.328654362995,199.849365121001,0.209814407921173,0.209814407921173,30.1531126658708,0.209814542781629,0.209814410820842,0.209814409473196,0.209814407921173,0.209814407921173,30.1531126658708,0.209814542781629,0.209814410820842,0.209814409473196,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,2,6,8.25974195250316E-17,0.184873104095459,0.185322999954224,609.702698121997,181.881613800004,437.005928337996,237.482344845004,0.0524701761957748,0.0524701761957748,40.9342450731415,0.0524701768227449,0.0524702156782446,0.0524702523741958,0.0524701761957748,0.0524701761957748,40.9342450731415,0.0524701768227449,0.0524702156782446,0.0524702523741958,0,0,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
